"OTU" "name" "all" "AF_A" "AF_B" "AM_A" "AM_B" "AQ_A" "AQ_B" "AX_A" "AX_B" "BB_A" "BB_B" "BF_A" "BF_B" "BI_A" "BI_B" "BM_A" "BM_B" "BU_A" "BU_B" "BX_A" "BX_B"
"76" 76 "BU_B_154280_4_9*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"77" 77 "BI_B_5326_3_294*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"78" 78 "BX_B_15470_3_372*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"79" 79 "BI_B_14637_3_388*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"80" 80 "BX_B_12278_3_19*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"81" 81 "BI_B_43104_3_218*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"82" 82 "BI_B_33864_3_763*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"83" 83 "BI_B_7196_3_382*" 3 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0
"84" 84 "BX_B_3356_3_796*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"85" 85 "BI_A_14469_3_567*" 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
"86" 86 "BI_B_11862_3_459*" 3 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0
"87" 87 "BI_B_29724_3_114*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"88" 88 "BI_B_27377_3_365*" 3 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0
"89" 89 "BX_B_15571_3_86*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"90" 90 "BI_A_2035_3_372*" 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
"91" 91 "BI_B_9664_3_484*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"92" 92 "BI_B_3776_3_559*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"93" 93 "BI_A_22081_3_290*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
